Tony Stark / Iron Man,lieutenant-colonel James « Rhodey » Rhodes
Tony Stark / Iron Man,Pepper Potts
Tony Stark / Iron Man,Pepper Potts
Tony Stark / Iron Man,Obadiah Stane / Iron Monger
Tony Stark / Iron Man,Ho Yinsen
Tony Stark / Iron Man,Harold « Happy » Hogan
Tony Stark / Iron Man,"Christine Everhart, journaliste à Vanity Fair"
Tony Stark / Iron Man,l'agent Phil Coulson du SHIELD
Tony Stark / Iron Man,Raza
Tony Stark / Iron Man,Abu Bakaar
Tony Stark / Iron Man,le général Gabriel
Tony Stark / Iron Man,William Ginter Riva
Tony Stark / Iron Man,major Allen
Tony Stark / Iron Man,Dubai beauty (non crédité)
Tony Stark / Iron Man,Howard Stark
Tony Stark / Iron Man,Pratt
Tony Stark / Iron Man,colonel Craig
Tony Stark / Iron Man,JARVIS (voix)
Tony Stark / Iron Man,Stan Lee
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD (non crédité, scène post-générique)"
Tony Stark / Iron Man,l'analyste
Tony Stark / Iron Man,Bruce Banner / Hulk
Tony Stark / Iron Man,Pepper Potts[5]
Tony Stark / Iron Man,Ivan Vanko / Whiplash
Tony Stark / Iron Man,le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5]
Tony Stark / Iron Man,Natalie Rushman / Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Justin Hammer[5]
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD[6]"
Tony Stark / Iron Man,"Phil Coulson, agent du SHIELD"
Tony Stark / Iron Man,"Phil Coulson, agent du SHIELD"
Tony Stark / Iron Man,Howard Stark[7]
Tony Stark / Iron Man,Happy Hogan
Tony Stark / Iron Man,J.A.R.V.I.S (voix)
Tony Stark / Iron Man,un US Marshal
Tony Stark / Iron Man,Christine Everhart
Tony Stark / Iron Man,le sénateur Stern
Tony Stark / Iron Man,Christiane Amanpour
Tony Stark / Iron Man,l'inspecteur Lemieux
Tony Stark / Iron Man,le major Allen
Tony Stark / Iron Man,Larry Ellison
Tony Stark / Iron Man,DJ AM
Tony Stark / Iron Man,le général Meade
Tony Stark / Iron Man,Anton Vanko
Tony Stark / Iron Man,un journaliste confondu avec Larry King (caméo)
Tony Stark / Iron Man,Rebecca
Tony Stark / Iron Man,Rebeka
Tony Stark / Iron Man,Bambi Arbogast
Tony Stark / Iron Man,Chess Roberts
Tony Stark / Iron Man,Elon Musk
Tony Stark / Iron Man,Tony Stark jeune
Tony Stark / Iron Man,Jack
Tony Stark / Iron Man,Peter Parker (petit garçon avec le masque d'Iron-Man)
Tony Stark / Iron Man,Dubbing Brothers[8]
Tony Stark / Iron Man,Michel Derain
Tony Stark / Iron Man,Philippe Videcoq
Tony Stark / Iron Man,Philippe Videcoq
Tony Stark / Iron Man,Steve Rogers / Captain America
Tony Stark / Iron Man,"Nick Fury, directeur du SHIELD"
Tony Stark / Iron Man,Thor
Tony Stark / Iron Man,Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Clint Barton / Hawkeye
Tony Stark / Iron Man,Loki
Tony Stark / Iron Man,"Maria Hill, agent du SHIELD"
Tony Stark / Iron Man,Dr Erik Selvig
Tony Stark / Iron Man,Hulk (voix originale)
Tony Stark / Iron Man,une membre du Conseil de sécurité mondiale
Tony Stark / Iron Man,Georgi Luchkov
Tony Stark / Iron Man,l'Autre
Tony Stark / Iron Man,le gardien du hangar détruit
Tony Stark / Iron Man,"JARVIS, l'ordinateur-assistant de Tony Stark (voix)"
Tony Stark / Iron Man,l'agent Jasper Sitwell
Tony Stark / Iron Man,"Gideon Malick, un membre du Conseil de sécurité mondiale"
Tony Stark / Iron Man,Beth
Tony Stark / Iron Man,un homme critiquant les Avengers en interview (caméo)
Tony Stark / Iron Man,"Thanos (caméo, scène inter-générique)"
Tony Stark / Iron Man,"Jane Foster (caméo photographique, non créditée)"
Tony Stark / Iron Man,"Crâne rouge (flashback, non crédité)"
Tony Stark / Iron Man,"Peggy Carter (voix, non créditée)"
Tony Stark / Iron Man,un agent du S.H.I.E.L.D.
Tony Stark / Iron Man,Dubbing Brothers[1]
Tony Stark / Iron Man,Hervé Bellon
lieutenant-colonel James « Rhodey » Rhodes,Pepper Potts
lieutenant-colonel James « Rhodey » Rhodes,Obadiah Stane / Iron Monger
lieutenant-colonel James « Rhodey » Rhodes,Ho Yinsen
lieutenant-colonel James « Rhodey » Rhodes,Harold « Happy » Hogan
lieutenant-colonel James « Rhodey » Rhodes,"Christine Everhart, journaliste à Vanity Fair"
lieutenant-colonel James « Rhodey » Rhodes,l'agent Phil Coulson du SHIELD
lieutenant-colonel James « Rhodey » Rhodes,Raza
lieutenant-colonel James « Rhodey » Rhodes,Abu Bakaar
lieutenant-colonel James « Rhodey » Rhodes,le général Gabriel
